imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR
25.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.7705581909502454, 0.6373696528385118], [-0.0, -0.6373696528385118, 0.7705581909502454]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.632317111283727e-05, -3.599325314104342e-05, 0.12534771595400182]","[-0.6935307607775643, -0.0005427204348603716, -0.00017764179795219464]"
26.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.7882277817872235, 0.6153835909567246], [-0.0, -0.6153835909567246, 0.7882277817872235]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00010364311671204358, -3.5398996843750654e-05, 0.12531925484783904]","[-0.6656419733346914, 0.00012722876058076111, -0.0015176066528452057]"
27.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.8052702575310585, 0.5929079290546404], [-0.0, -0.5929079290546404, 0.8052702575310585]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.636599711153352e-05, -2.568718035178971e-05, 0.1252769563546222]","[-0.637007587199195, -0.0005279421973072207, -0.00016221476223182078]"
28.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.8216720591649151, 0.5699605487993779], [-0.0, -0.5699605487993779, 0.8216720591649151]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.635546570285673e-05, -0.00011563730447704208, 0.1251612311364816]","[-0.6088979622434858, -0.0005183602590192318, -0.00015506820656853212]"
29.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.8374201373931495, 0.5465597071578171], [-0.0, -0.5465597071578171, 0.8374201373931495]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.656691431978746e-05, -3.527912113923584e-05, 0.12539869464607706]","[-0.5757307240688615, -0.0005064939834730801, -0.00014645122875991178]"
30.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.8525019630233464, 0.5227240218713324], [-0.0, -0.5227240218713324, 0.8525019630233464]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00010718441971503022, -1.0757785808200062e-05, 0.12542329113884762]","[-0.5522416431237172, 0.0008061150457814885, -0.0014867777894438591]"
31.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.8669055369345617, 0.4984724566434931], [-0.0, -0.4984724566434931, 0.8669055369345617]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.670034080013287e-05, -3.726992191897231e-05, 0.12537115584991335]","[-0.5235293748596305, -0.00048062450190604496, -0.00013297567937764913]"
32.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.8806193996238407, 0.4738243060525137], [-0.0, -0.4738243060525137, 0.8806193996238407]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.673305206110578e-05, -2.9409530669729838e-05, 0.1252643472758511]","[-0.4961961969309397, -0.0004647217369530402, -0.00012611699553092209]"
33.png,True,"[0.0, 0.0, 0.1]","[[0.9999999999999999, -0.0, 0.0], [0.0, 0.8936326403234122, 0.44879918020046206], [-0.0, -0.44879918020046206, 0.8936326403234122]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.679319246983401e-05, -9.207456125905346e-05, 0.12520272931032392]","[-0.4717884585281289, -0.000448902368895908, -0.0001202452184665556]"
34.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9059349056813111, 0.42341698911143605], [-0.0, -0.42341698911143605, 0.9059349056813111]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-6.70726035533843e-05, -2.8852341165001185e-05, 0.12541643925270413]","[-0.4354966770632365, -0.0004232424800457976, -0.00011126940500304047]"
35.png,True,"[0.0, 0.0, 0.1]","[[1.0, -0.0, 0.0], [0.0, 0.9175164079985194, 0.3976979268911198], [-0.0, -0.3976979268911198, 0.9175164079985194]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",aruco,"[-0.00011418063553188715, -4.2642099778682525e-05, 0.12543441154879145]","[-0.4115625220891226, 0.0020685342020370146, -0.0014624322103197647]"
