imageName,arucoAvailable,realT,realR,otherInfo,method,detectedT,detectedR,isSuccess,errorT,errorR
268.png,True,"[0.0, 0.0, np.float64(3.465656565656566)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-8.959710884830675e-05, -0.0010258993073671663, 4.661526153966752]","[0.0620302766803177, -0.019305842587766187, 0.003078627742767716]",False,1.195870031710053,0.06503805602752062
269.png,True,"[0.0, 0.0, np.float64(3.5151515151515156)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[-2.516513657932771e-05, -0.0010629504794934855, 4.704715907458932]","[0.07934552599448334, -0.04195308241008456, 0.002536886629041366]",False,1.189564867480004,0.08978980684252075
270.png,True,"[0.0, 0.0, np.float64(3.564646464646465)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,"[5.147056665803621e-05, -0.0010726632204263143, 4.721083335287158]","[0.18828795890577962, -0.04200082370582292, 0.0013377515382374259]",False,1.1564373692651249,0.19292022765912917
271.png,True,"[0.0, 0.0, np.float64(3.6141414141414145)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
272.png,True,"[0.0, 0.0, np.float64(3.663636363636364)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
273.png,True,"[0.0, 0.0, np.float64(3.7131313131313135)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
274.png,True,"[0.0, 0.0, np.float64(3.762626262626263)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
275.png,True,"[0.0, 0.0, np.float64(3.812121212121213)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
276.png,True,"[0.0, 0.0, np.float64(3.8616161616161624)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
277.png,True,"[0.0, 0.0, np.float64(3.911111111111112)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
278.png,True,"[0.0, 0.0, np.float64(3.9606060606060614)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
279.png,True,"[0.0, 0.0, np.float64(4.01010101010101)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
280.png,True,"[0.0, 0.0, np.float64(4.05959595959596)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
281.png,True,"[0.0, 0.0, np.float64(4.109090909090909)]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","{'tagLength': 0.0525, 'tagFamily': 'tag36h11', 'tagId': 0}",apriltag,[],[],True,-1.0,-1.0
