imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
35.png,"[-0.13243770014337658, -0.14710558834197612, 1.2486260821240796]","[1.8276492764233943, -0.8888291460073328, -0.01644191398552919]",2.333333333333333,aruco,"[-0.13516992007492534, -0.15011142269339853, 1.266910671787076]","[1.8312536581970387, -0.8927478378677665, -0.012951235229951435]",True,"[-0.0027322199315487627, -0.003005834351422404, 0.018284589662996398]","[0.002961691425948919, -0.0051831703028715915, 0.00013022302997225545]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
36.png,"[-0.11567309106247264, -0.15131467724599962, 1.2481244648333718]","[1.8942681299125415, -0.7087805295531133, -0.009291442149368454]",2.4,aruco,"[-0.11810534166445967, -0.1543435178076018, 1.2679597798337625]","[1.8909366103296246, -0.7049434874580613, -0.009656142040734481]",True,"[-0.0024322506019870266, -0.0030288405616021863, 0.019835315000390707]","[-0.003698173578193112, 0.002829357646803307, 0.001573634675340612]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
37.png,"[-0.09679451816019977, -0.15390286814954462, 1.2452697566059874]","[1.9717586391337574, -0.5064238974543906, -0.0012188463612876857]",2.466666666666667,aruco,"[-0.09911771241036366, -0.15738561497057366, 1.266526168012127]","[1.9645500212133815, -0.5096127581825749, 0.00018591631803650056]",True,"[-0.0023231942501638903, -0.0034827468210290313, 0.02125641140613954]","[-0.0067752873514822405, -0.0015057298977399203, -0.002857681785679055]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
38.png,"[-0.07659882239495333, -0.15413579712363562, 1.239987550529943]","[2.053768399294843, -0.28418835896358496, 0.007630539592378669]",2.533333333333333,aruco,"[-0.07753964024948647, -0.15596782959574468, 1.2538435274200812]","[2.034508479391027, -0.2811187281104662, -0.0018465198735876998]",True,"[-0.0009408178545331353, -0.0018320324721090575, 0.013855976890138288]","[-0.018375460740920332, 0.009524289714450754, -0.003774252011586474]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
39.png,"[-0.056128754750281125, -0.15144576440531082, 1.2324339625407084]","[2.1347461366920935, -0.045618715275975705, 0.017078033587095986]",2.6,aruco,"[-0.05714949082533871, -0.15384744412105839, 1.2451390925560015]","[2.13689107272879, -0.04834851339175491, 0.015904348205847713]",True,"[-0.0010207360750575864, -0.0024016797157475622, 0.012705130015293165]","[0.0022087586587011855, -0.00025249229479890447, -0.002381661669691296]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
40.png,"[-0.036543566745971146, -0.14557126710195528, 1.2230214488696336]","[2.210437540498817, 0.20465233501605531, 0.02691703149788464]",2.6666666666666665,aruco,"[-0.036743101227283595, -0.14705985134308258, 1.2325853665308957]","[2.197364897993258, 0.20577641709024994, 0.017125434619465592]",True,"[-0.00019953448131244944, -0.0014885842411272998, 0.009563917661262078]","[-0.01365974642675048, 0.006586713688017847, -0.0019390035206865556]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
41.png,"[-0.018934888972953836, -0.13662881710554536, 1.2123895453899898]","[2.2782927336877106, 0.4610904442470303, 0.03692343835147011]",2.7333333333333334,aruco,"[-0.019072955534785597, -0.13917642071609415, 1.2339095409936862]","[2.2701927866663314, 0.46050875897988625, 0.03294640085582906]",True,"[-0.00013806656183176086, -0.0025476036105487876, 0.02151999560369644]","[-0.008563555231126558, 0.0014492808003085751, -0.0005852738636203181]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
42.png,"[-0.004139084228092858, -0.12509080508334042, 1.2013236701212577]","[2.3377372300671255, 0.7175598219895839, 0.04686905416575924]",2.8,aruco,"[-0.0040533709736597775, -0.1280586498225799, 1.2265361428082964]","[2.3397766352600384, 0.7213152186850881, 0.04865407376551832]",True,"[8.571325443308079e-05, -0.0029678447392394725, 0.025212472687038634]","[0.003038651849180759, 0.0004481977947787522, 0.002671242074726774]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
43.png,"[0.007398360410724454, -0.11167574092650495, 1.1906441627292967]","[2.390268533931642, 0.9676722021029333, 0.05653519781916422]",2.8666666666666667,aruco,"[0.007370541910056916, -0.11422084409613009, 1.2138617038028527]","[2.3947961266756095, 0.968600640179794, 0.054574957313130834]",True,"[-2.7818500667538444e-05, -0.0025451031696251403, 0.023217541073556003]","[0.0037051209762444534, 0.002901623851783465, -0.0009256474657019802]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
44.png,"[0.01567083431331376, -0.09718824094709816, 1.1810974286467015]","[2.4393568717188217, 1.205107339639793, 0.06572355512393112]",2.933333333333333,aruco,"[0.015946652445982496, -0.09929563409025789, 1.2079137041220995]","[2.434683372622894, 1.2013925830812802, 0.06194410747194991]",True,"[0.0002758181326687377, -0.002107393143159733, 0.026816275475398]","[-0.0063279150252376435, -0.00048086367061181846, -0.0015758335585219854]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
45.png,"[0.02084714237280108, -0.08236007766424275, 1.173272938349468]","[2.4901488712897626, 1.4238271113311192, 0.07426138808797608]",3.0,aruco,"[0.02105917451386885, -0.08387177538037667, 1.1932730903964996]","[2.4943133597059113, 1.4263073796014496, 0.06801293314017894]",True,"[0.00021203214106776946, -0.0015116977161339223, 0.02000015204703165]","[0.0019166182465410802, 0.006120300614480448, -0.00041582218776646903]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
46.png,"[0.02339171074355722, -0.06773800822349146, 1.167571226039386]","[2.548993391698542, 1.618118695265644, 0.08199890608466301]",3.0666666666666664,aruco,"[0.02356612221323827, -0.06829628131388232, 1.1772940723352168]","[2.539918786349863, 1.6185107316818472, 0.06411721885058759]",True,"[0.0001744114696810503, -0.0005582730903908595, 0.009722846295830756]","[-0.013088125166052893, 0.0057818777264666945, 0.0025107351095818684]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
47.png,"[0.02416572203049347, -0.05363980363464543, 1.1642104249971834]","[-2.5718758656252967, -1.7478083230897488, -0.08707291704384833]",3.1333333333333333,aruco,"[0.017985584587332733, -0.053662113719805636, 1.1649260795703764]","[2.542427274565066, 1.7280369579928014, 0.24973679245828423]",True,"[-0.006180137443160736, -2.2310085160202886e-05, 0.0007156545731930031]","[-0.013226183139707663, -0.13728662922631857, -0.003972976131328047]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
48.png,"[0.024099813136663414, -0.040175615699518386, 1.1632467593412026]","[-2.419663282178269, -1.7009877413010732, -0.08412424083323777]",3.2,aruco,"[0.021803538465466177, -0.04185735063147375, 1.1703013823649806]","[-2.4190316482733323, -1.7003576089814667, -0.16824111342426584]",True,"[-0.0022962746711972376, -0.0016817349319553643, 0.007054623023778017]","[0.03036412854335216, -0.04751181198235956, -0.0053350378160387625]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
49.png,"[0.024120960901034855, -0.027317397989580106, 1.1646015717840306]","[-2.29663468359523, -1.6143316183950094, -0.07997947117867855]",3.2666666666666666,aruco,"[0.024117874353035234, -0.028278988134623293, 1.1780574208364618]","[-2.2979434129893117, -1.616781275784317, -0.08478827862753413]",True,"[-3.0865479996207423e-06, -0.0009615901450431875, 0.013455849052431246]","[-0.000180470377116568, -0.004311487665958698, 0.000240192011204666]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
