imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
22.png,"[-0.17001233370002483, -0.027722925560370537, 1.1986340872865082]","[-2.799728025310935, 0.29485697475213346, -0.015144697292980788]",1.4666666666666666,aruco,"[-0.17295155824002117, -0.028060116889531507, 1.2124889229971838]","[-2.805848500074988, 0.2943776761380178, -0.03475950967031625]",True,"[-0.0029392245399963435, -0.0003371913291609699, 0.013854835710675584]","[-0.007590037776373187, -0.012924641370160533, -0.0014876564579061333]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
23.png,"[-0.16556415914516437, -0.04457172203476373, 1.1951968396417285]","[-2.9121462582956203, 0.612660407712626, -0.004475542511303213]",1.5333333333333332,aruco,"[-0.16861058717655505, -0.04480135089303476, 1.2087810102036263]","[-2.9237150698582566, 0.6126345754047412, -0.03036870060564463]",True,"[-0.0030464280313906855, -0.0002296288582710332, 0.013584170561897757]","[-0.01478740178110968, -0.014614971841033166, 0.00015459871163673314]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
24.png,"[-0.16436702652885482, -0.06121517485964062, 1.1943109412269683]","[-2.993732749248746, 0.9371610513076565, 0.0067338773137873235]",1.6,aruco,"[-0.166389199729373, -0.0627646595174728, 1.206494669200837]","[-2.988354261882606, 0.924096063972845, 0.014729233285972244]",True,"[-0.0020221732005181736, -0.0015494846578321814, 0.012183727973868574]","[0.010119551321457624, 0.002185059733147852, 0.006937034871721782]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
25.png,"[-0.1657050091856398, -0.07646243577013123, 1.1959656862367327]","[2.7627419798184625, -1.140163486918559, -0.016377255410742968]",1.6666666666666667,aruco,"[-0.16932740938277174, -0.0783968873786112, 1.2137517369002846]","[2.7750519040592856, -1.1341634093594826, -0.0082471491214637]",True,"[-0.0036224001971319475, -0.0019344516084799646, 0.017786050663551878]","[0.006550967830374037, -0.008011971173456646, 0.007161165077679104]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
26.png,"[-0.16855066564300802, -0.08954667702385227, 1.1998312662310588]","[2.5310312356929123, -1.2848724942384937, -0.02388726703875692]",1.7333333333333334,aruco,"[-0.169631972754391, -0.09117438246901205, 1.2074094167944718]","[2.5304662742038095, -1.2902307911019197, -0.04159408513291136]",True,"[-0.0010813071113829897, -0.0016277054451597772, 0.007578150563412933]","[0.007124750494942272, 0.009441765312880756, -0.005339935070181587]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
27.png,"[-0.17179541599952677, -0.10021161222869862, 1.2053732353060336]","[2.318732303576049, -1.3791756261004928, -0.02936799697832124]",1.8,aruco,"[-0.1750432580435873, -0.10252769594172943, 1.2226040574954549]","[2.31965174265603, -1.3824887135281172, -0.030272680896766782]",True,"[-0.003247842044060534, -0.0023160837130308115, 0.01723082218942129]","[0.002249964842318981, -0.001058134061200032, -0.0018425373955493554]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
28.png,"[-0.17443891002019074, -0.10865645781418137, 1.211983484017574]","[2.1344479010803856, -1.4289529506316292, -0.032956486073277155]",1.8666666666666667,aruco,"[-0.17702643221894193, -0.11120634771099741, 1.2258437445543442]","[2.1359351907174555, -1.4383533105657011, -0.04082808962591923]",True,"[-0.002587522198751191, -0.0025498898968160377, 0.013860260536770141]","[0.0076795080700721545, -0.00020768916236490686, -0.0067200474508818855]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
29.png,"[-0.17569171062306901, -0.1153877366347919, 1.219083914400141]","[1.9840428679919682, -1.4399141860286135, -0.03480884307958934]",1.933333333333333,aruco,"[-0.17753118536218176, -0.11750354357645455, 1.229142292788572]","[1.9828283006832832, -1.4361333714471223, -0.04989702546817797]",True,"[-0.0018394747391127508, -0.0021158069416626485, 0.010058378388430933]","[0.004367897848143891, 0.011100764789004652, -0.002192097440680851]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
30.png,"[-0.17498949301694275, -0.12103989304560053, 1.2261799331410654]","[1.8708041633335202, -1.4169781273804694, -0.03507589837131213]",2.0,aruco,"[-0.17787666858588752, -0.12364740907995338, 1.241942038308245]","[1.867584200110968, -1.414089425897636, -0.046322076721729874]",True,"[-0.002887175568944772, -0.002607516034352844, 0.015762105167179463]","[0.0016934168636409182, 0.009143079730810477, -0.0031189352790286745]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
31.png,"[-0.1719491027624161, -0.1262123008527491, 1.2328642059888757]","[1.7956677373790337, -1.3639337444079536, -0.03388856667366318]",2.0666666666666664,aruco,"[-0.17617323335477067, -0.1301672858583827, 1.2565596343343974]","[1.797560974817578, -1.358259057931021, -0.0422926544332187]",True,"[-0.004224130592354575, -0.003954985005633599, 0.02369542834552174]","[0.0034646775427215055, 0.0074793482801107395, 0.0012295431667646256]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
32.png,"[-0.16630847565719242, -0.13134540848619763, 1.2387872401249225]","[1.7574756471262376, -1.2833657990181941, -0.031352631186556484]",2.1333333333333333,aruco,"[-0.16999749530780414, -0.13439106630311204, 1.2570803421516217]","[1.7558471231393895, -1.28930568275678, -0.02032824069391682]",True,"[-0.003689019650611719, -0.0030456578169144044, 0.018293102026699204]","[-0.004324466963798985, -0.009399987858835992, -4.8225580640978e-06]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
33.png,"[-0.1578868302653772, -0.13663962902342536, 1.2436177440181506]","[1.7532542465614716, -1.1768130875653704, -0.027551874170961686]",2.2,aruco,"[-0.16137356930110267, -0.13994959425695067, 1.2624578228336787]","[1.7525376729926525, -1.1789392418778022, -0.02571189319777479]",True,"[-0.003486739035725467, -0.0033099652335253082, 0.018840078815528072]","[-0.0007661616146519801, -0.0021400286309248956, -0.0008102411616109966]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
34.png,"[-0.14658634028023132, -0.14201405348109902, 1.247014548190978]","[1.7785227432604611, -1.0451082307105062, -0.022557609784352457]",2.2666666666666666,aruco,"[-0.15178551969542758, -0.14818091105427705, 1.2829610033067447]","[1.7705143964111796, -1.0631845432998166, -0.006800157324026782]",True,"[-0.0051991794151962645, -0.006166857573178031, 0.03594645511576666]","[-0.008152679533974905, -0.017998203368815684, -0.007299170731824666]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
35.png,"[-0.13243770014337658, -0.14710558834197612, 1.2486260821240796]","[1.8276492764233943, -0.8888291460073328, -0.01644191398552919]",2.333333333333333,aruco,"[-0.1353498869719227, -0.15106710427808012, 1.2697488684861513]","[1.8185163937058595, -0.8944807422087528, -0.017715525054672304]",True,"[-0.0029121868285461316, -0.003961515936103999, 0.021122786362071766]","[-0.006534069533691503, -0.00022841923088654523, -0.006997426444825884]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
36.png,"[-0.11567309106247264, -0.15131467724599962, 1.2481244648333718]","[1.8942681299125415, -0.7087805295531133, -0.009291442149368454]",2.4,aruco,"[-0.11834574245722082, -0.15565880356789163, 1.269818344233835]","[1.8923338044721083, -0.7094812405387417, -0.016240595560427538]",True,"[-0.0026726513947481767, -0.004344126321892017, 0.0216938794004633]","[7.611271174135783e-05, 0.004614491546733385, -0.004035989774734522]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
37.png,"[-0.09679451816019977, -0.15390286814954462, 1.2452697566059874]","[1.9717586391337574, -0.5064238974543906, -0.0012188463612876857]",2.466666666666667,aruco,"[-0.0995384614989841, -0.1593855800659751, 1.2730079844147877]","[1.9675006126528665, -0.5159261169978272, 0.0018548841185897858]",True,"[-0.0027439433387843326, -0.005482711916430488, 0.02773822780880031]","[-0.003360248723123559, -0.006048574642171937, -0.005953415414271766]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
38.png,"[-0.07659882239495333, -0.15413579712363562, 1.239987550529943]","[2.053768399294843, -0.28418835896358496, 0.007630539592378669]",2.533333333333333,aruco,"[-0.07707497474201849, -0.15568705949849942, 1.2458093056366832]","[2.042677241657147, -0.27905634674267815, -0.003549074337875587]",True,"[-0.00047615234706516185, -0.0015512623748638044, 0.005821755106740323]","[-0.010293269666870974, 0.010999955237767806, -0.002208506035160275]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
39.png,"[-0.056128754750281125, -0.15144576440531082, 1.2324339625407084]","[2.1347461366920935, -0.045618715275975705, 0.017078033587095986]",2.6,aruco,"[-0.0567265310878698, -0.1534496378791419, 1.2419835546346174]","[2.1294833404821354, -0.04799195701235106, 0.01351213643989667]",True,"[-0.0005977763375886735, -0.002003873473831075, 0.009549592093909043]","[-0.005176637389509904, 0.0016626397955405163, -0.00322582997617021]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
40.png,"[-0.036543566745971146, -0.14557126710195528, 1.2230214488696336]","[2.210437540498817, 0.20465233501605531, 0.02691703149788464]",2.6666666666666665,aruco,"[-0.036889623969784346, -0.1467548080379553, 1.2281210249627001]","[2.189739651572034, 0.1849636634991981, 0.02449463715598328]",True,"[-0.0003460572238132009, -0.0011835409360000104, 0.005099576093066549]","[-0.021700908182494056, -0.006846723236246596, -0.01389442306941632]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
41.png,"[-0.018934888972953836, -0.13662881710554536, 1.2123895453899898]","[2.2782927336877106, 0.4610904442470303, 0.03692343835147011]",2.7333333333333334,aruco,"[-0.01937204442192804, -0.13801105744057507, 1.2188843067496502]","[2.2683029350317754, 0.4533196217397856, 0.03025449879845682]",True,"[-0.00043715544897420314, -0.0013822403350297052, 0.006494761359660428]","[-0.011685871523911694, 0.0006362118005733977, -0.006313117471506859]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
