imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
21.png,"[-0.17724226507782967, -0.05187429095769969, 1.1648343105019179]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.4,apriltag,"[-0.1782609247893048, -0.049086872100618566, 1.166683784709914]","[-3.132790009678148, 0.012794172865224615, -0.0561980488419136]",True,"[-0.001018659711475134, 0.002787418857081121, 0.0018494742079961934]","[-0.0643556117603078, -0.017309316437692866, -0.008101400359537185]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.17224310202590098, -0.05188404763894794, 1.1649252697642396]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.4666666666666666,apriltag,"[-0.17172126032082932, -0.05352629742167725, 1.163192467106206]","[-3.0286878426755917, -0.0015171714362408662, -0.019726961434778034]",True,"[0.0005218417050716628, -0.0016422497827293103, -0.0017328026580336608]","[0.040129030534518696, 0.005116796705316435, 0.0028433100824148596]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.16702175394944216, -0.05189423795047393, 1.1650202716604423]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.5333333333333332,apriltag,"[-0.16908771848463267, -0.048399388360827, 1.1663645688002586]","[3.134800984687664, -0.010727182574109324, 0.09397693908286939]",True,"[-0.0020659645351905065, 0.0034948495896469298, 0.0013442971398163195]","[-0.07800415835003094, -0.0414060008127177, -0.007776736732885176]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.16157822084845314, -0.051904861892277554, 1.165119316190526]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.6,apriltag,"[-0.16171224776604914, -0.05508972573940861, 1.1630119487968977]","[-2.992430804035419, -0.009711488281830608, -0.03930853352135317]",True,"[-0.0001340269175960085, -0.003184863847131056, -0.0021073673936282677]","[0.07612223355595377, -0.008312226057598496, 0.008160486852560688]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.15591250272293397, -0.05191591946435892, 1.1652224033544905]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.6666666666666667,apriltag,"[-0.1560208690293737, -0.05442011490254343, 1.164662826655942]","[-3.00933460449885, -0.009097215579138262, -0.03094425062146796]",True,"[-0.00010836630643973333, -0.0025041954381845102, -0.0005595766985484474]","[0.05932517993090175, -0.002599073029996587, 0.007774422915740332]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
26.png,"[-0.15002459957288464, -0.05192741066671802, 1.1653295331523361]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.7333333333333334,apriltag,"[-0.15138310328980245, -0.047373578650445426, 1.1662940195572846]","[3.1109423217980594, -0.01496017633673253, 0.07178998632602204]",True,"[-0.0013585037169178138, 0.004553832016272595, 0.0009644864049485058]","[-0.10240081999816412, -0.027502914165620562, -0.010271854810246754]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
27.png,"[-0.14391451139830513, -0.051939335499354755, 1.1654407055840625]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.8,apriltag,"[-0.14373556010276994, -0.05401000214209046, 1.16453146213175]","[-3.018425016882263, -0.006449694921466989, -0.02434692374566591]",True,"[0.00017895129553519018, -0.0020706666427357037, -0.0009092434523125803]","[0.05032017290140061, 0.00189247713006545, 0.006086778130636337]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
28.png,"[-0.13758223819919546, -0.05195169396226923, 1.1655559206496702]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.8666666666666667,apriltag,"[-0.13744368022400155, -0.05561846753451109, 1.161629768370533]","[-2.978514992538116, -0.008230669793967022, -0.03777797588249482]",True,"[0.00013855797519390922, -0.003666773572241863, -0.003926152279137174]","[0.09006926927958618, -0.007381056310062458, 0.007356868756289101]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
29.png,"[-0.13102777997555565, -0.05196448605546139, 1.1656751783491588]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",1.933333333333333,apriltag,"[-0.13100216881167417, -0.05339072589088401, 1.1656702743033283]","[-3.0334595174181156, -0.00625830784940441, -0.024362084134705125]",True,"[2.5611163881472665e-05, -0.0014262398354226227, -4.904045830533832e-06]","[0.03528841542546659, 0.0019780641490510916, 0.005807129052800844]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
30.png,"[-0.12425113672738566, -0.05197771177893129, 1.1657984786825282]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",2.0,apriltag,"[-0.12512125013555483, -0.04832486746991326, 1.166094214454555]","[3.1335034452803434, -0.01495333586473693, 0.05915715029848615]",True,"[-0.0008701134081691708, 0.0036528443090180288, 0.000295735772026795]","[-0.08011033441511302, -0.019129887108859843, -0.009689730560163354]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
